simulation_id,protocol,success_count,failure_count,total_eprs_used,average_fidelity
1,BFK_BQC,100,0,3000,0.9438563265744744
2,BFK_BQC,100,0,3000,0.9479644851193496
3,BFK_BQC,100,0,3000,0.9464807807207174
4,BFK_BQC,100,0,3000,0.9452297612004928
5,BFK_BQC,100,0,3000,0.9461685938029091
6,BFK_BQC,100,0,3000,0.9454178701988858
7,BFK_BQC,100,0,3000,0.9452843923855395
8,BFK_BQC,100,0,3000,0.9454555924161987
9,BFK_BQC,100,0,3000,0.9453981504328153
10,BFK_BQC,100,0,3000,0.9456601633090721
11,BFK_BQC,100,0,3000,0.9459172945635064
12,BFK_BQC,100,0,3000,0.9445389209375138
13,BFK_BQC,100,0,3000,0.944995097167635
14,BFK_BQC,100,0,3000,0.9454613631362812
15,BFK_BQC,100,0,3000,0.9456075708547512
16,BFK_BQC,100,0,3000,0.9456865582590075
17,BFK_BQC,100,0,3000,0.9459756384502476
18,BFK_BQC,100,0,3000,0.9470708590707289
19,BFK_BQC,100,0,3000,0.9444897112396837
20,BFK_BQC,100,0,3000,0.9442274034496708
21,BFK_BQC,100,0,3000,0.9447489550953782
22,BFK_BQC,100,0,3000,0.9469513284291269
23,BFK_BQC,100,0,3000,0.9466275352165641
24,BFK_BQC,100,0,3000,0.9449912169218915
25,BFK_BQC,100,0,3000,0.9460486121487991
26,BFK_BQC,100,0,3000,0.9454271758431323
27,BFK_BQC,100,0,3000,0.945716482113827
28,BFK_BQC,100,0,3000,0.9448695219990721
29,BFK_BQC,100,0,3000,0.9470629653217263
30,BFK_BQC,100,0,3000,0.9443664889397662
31,BFK_BQC,100,0,3000,0.9466605569853304
32,BFK_BQC,100,0,3000,0.9446125105174703
33,BFK_BQC,100,0,3000,0.9455622421191913
34,BFK_BQC,100,0,3000,0.9443734889620259
35,BFK_BQC,100,0,3000,0.9458164319915713
36,BFK_BQC,100,0,3000,0.9458549758034263
37,BFK_BQC,100,0,3000,0.9471944779938993
38,BFK_BQC,100,0,3000,0.9451355001663923
39,BFK_BQC,100,0,3000,0.9455771335573814
40,BFK_BQC,100,0,3000,0.9464055038310184
41,BFK_BQC,100,0,3000,0.946518837210692
42,BFK_BQC,100,0,3000,0.9458114114278969
43,BFK_BQC,100,0,3000,0.945252469231407
44,BFK_BQC,100,0,3000,0.9472450794728146
45,BFK_BQC,100,0,3000,0.9451554702892992
46,BFK_BQC,100,0,3000,0.9457265384884638
47,BFK_BQC,100,0,3000,0.9460852102380959
48,BFK_BQC,100,0,3000,0.9454958830938309
49,BFK_BQC,100,0,3000,0.9452943796303854
50,BFK_BQC,100,0,3000,0.9452784760700949
51,BFK_BQC,100,0,3000,0.9458470658543332
52,BFK_BQC,100,0,3000,0.9460915897203778
53,BFK_BQC,100,0,3000,0.9450353774859632
54,BFK_BQC,100,0,3000,0.947163948849726
55,BFK_BQC,100,0,3000,0.9451847728375754
56,BFK_BQC,100,0,3000,0.9455138484747636
57,BFK_BQC,100,0,3000,0.9446546676973253
58,BFK_BQC,100,0,3000,0.9465285198018247
59,BFK_BQC,100,0,3000,0.946557458918682
60,BFK_BQC,100,0,3000,0.9466057169052792
61,BFK_BQC,100,0,3000,0.9448460469102817
62,BFK_BQC,100,0,3000,0.9460072701292683
63,BFK_BQC,100,0,3000,0.9472907732457165
64,BFK_BQC,100,0,3000,0.9466391059382486
65,BFK_BQC,100,0,3000,0.9449873871741465
66,BFK_BQC,100,0,3000,0.9471358875316939
67,BFK_BQC,100,0,3000,0.9460239264596457
68,BFK_BQC,100,0,3000,0.9453160638920688
69,BFK_BQC,100,0,3000,0.9464532393497951
70,BFK_BQC,100,0,3000,0.9464437777388325
71,BFK_BQC,100,0,3000,0.946566503098694
72,BFK_BQC,100,0,3000,0.9461470478400579
73,BFK_BQC,100,0,3000,0.9466947228428094
74,BFK_BQC,100,0,3000,0.9463584788812514
75,BFK_BQC,100,0,3000,0.9453871380161921
76,BFK_BQC,100,0,3000,0.9440588340612011
77,BFK_BQC,100,0,3000,0.9455981138019233
78,BFK_BQC,100,0,3000,0.94674493892746
79,BFK_BQC,100,0,3000,0.9444157085443462
80,BFK_BQC,100,0,3000,0.9448962700906287
81,BFK_BQC,100,0,3000,0.946318097643019
82,BFK_BQC,100,0,3000,0.9455096807820906
83,BFK_BQC,100,0,3000,0.9466015270988443
84,BFK_BQC,100,0,3000,0.945538999052789
85,BFK_BQC,100,0,3000,0.9455651535250454
86,BFK_BQC,100,0,3000,0.9456549879705567
87,BFK_BQC,100,0,3000,0.9455126910487545
88,BFK_BQC,100,0,3000,0.9460130216201567
89,BFK_BQC,100,0,3000,0.9454334922772925
90,BFK_BQC,100,0,3000,0.9449742163890789
91,BFK_BQC,100,0,3000,0.9451471458216082
92,BFK_BQC,100,0,3000,0.9455977064851437
93,BFK_BQC,100,0,3000,0.9472697259720474
94,BFK_BQC,100,0,3000,0.9452441690892384
95,BFK_BQC,100,0,3000,0.9469380376763474
96,BFK_BQC,100,0,3000,0.9458525162665891
97,BFK_BQC,100,0,3000,0.9451704649915308
98,BFK_BQC,100,0,3000,0.9455109354011211
99,BFK_BQC,100,0,3000,0.9448835345970791
100,BFK_BQC,100,0,3000,0.9453471252788991
